param_name,heading,description,type,value,group
featured,Featured Product,Select if the product is featured product or not,dropdown,"['normal','featured']",whmpress
featured_text,Featured Text,If feature includes a ribbon,textfield,"featured",whmpress
custom_text_1,Custom Text 1,Promo Text to Display,textfield,Value,whmpress
custom_text_2,Custom Text 2,Promo Text to Display,textfield,Value,whmpress
custom_text_3,Custom Text 3,Promo Text to Display,textfield,Value,whmpress
product_detail,Product Detail,Product Details to display,textarea,Value,whmpress
sub_icon,Select Icons,I cons only works with supported templates,whmpress_icon,"",whmpress
sub_image,Select Image,Image only works with supported templates,attach_image,"",whmpress
